"sample","fieldID","region","site","management","treatment","plot","day","lat","lon","sand_pct","soil_moisture","soil_temp","pH","soil_tot_C","soil_tot_N","abv_plant_biomass","plant_avail_N","fb_ratio","microbial_biomass","ITS_ID","X16S_ID","X16Sf","X16Sr","ITSf","ITSr","md5_16Sf","md5_16Sr","md5_ITSf","md5_ITSr","exp_alias_16S","run_alias_16S","exp_alias_ITS","run_alias_ITS","run_acc_16S","exp_acc_16S","run_acc_ITS","exp_acc_ITS","samp_acc","ext_id_acc","proj_acc"
"DeS1ExCp1d0","DeS1Ex","De",1,"Ex","C",1,0,50.6816742,-3.7814564,55.979271,31.2,19.6,5.77,7.8229431,0.65457279,0.154818181818182,0.00116725750932205,0.0213034413659219,0.0274236348571279,"ResRisMcr-3-C-B-06-DeS1ExCp1d0-ITS-1","ResRisMcr-3-C-B-06-DeS1ExCp1d0-16S-1","ResRisMcr-3-C-B-06-DeS1ExCp1d0-16S-1_S210_L001_R1_001.fastq.gz","ResRisMcr-3-C-B-06-DeS1ExCp1d0-16S-1_S210_L001_R2_001.fastq.gz","ResRisMcr-3-C-B-06-DeS1ExCp1d0-ITS-1_S210_L001_R1_001.fastq.gz","ResRisMcr-3-C-B-06-DeS1ExCp1d0-ITS-1_S210_L001_R2_001.fastq.gz","b292c7986a3c4e89e55a2dda75a84901","2a230c13d2be9748f1c4cca8f2dbeb36","640082d261ca59bfef861d85487e570f","1989006477992724c5ad51bc9a7cd7be","DeS1ExCp1d0_16S_exp","DeS1ExCp1d0_16S_run","DeS1ExCp1d0_ITS_exp","DeS1ExCp1d0_ITS_run","ERR11531888","ERX10936454","ERR11532229","ERX10936795","ERS15577909","SAMEA113583000","PRJEB63076"
"DeS1ExCp2d0","DeS1Ex","De",1,"Ex","C",2,0,50.681681,-3.7814353,55.979271,28.5,18.5,5.4,6.95017938,0.57474684,0.156818181818182,0.00107890828789825,0.0753499206445403,0.0233844338642636,"ResRisMcr-4-D-A-09-DeS1ExCp2d0-ITS-1","ResRisMcr-4-D-A-09-DeS1ExCp2d0-16S-1","ResRisMcr-4-D-A-09-DeS1ExCp2d0-16S-1_S297_L001_R1_001.fastq.gz","ResRisMcr-4-D-A-09-DeS1ExCp2d0-16S-1_S297_L001_R2_001.fastq.gz","ResRisMcr-4-D-A-09-DeS1ExCp2d0-ITS-1_S297_L001_R1_001.fastq.gz","ResRisMcr-4-D-A-09-DeS1ExCp2d0-ITS-1_S297_L001_R2_001.fastq.gz","33275ca0fc7254229c96c5df41103f61","a3f9f6da6602a0c50cca6b0ef7e09d37","a4ace4235fbd657f647bb25b4ee211b4","f86fd441f78b2b68522bccec3d9f2511","DeS1ExCp2d0_16S_exp","DeS1ExCp2d0_16S_run","DeS1ExCp2d0_ITS_exp","DeS1ExCp2d0_ITS_run","ERR11531889","ERX10936455","ERR11532230","ERX10936796","ERS15577910","SAMEA113583001","PRJEB63076"
"DeS1ExCp3d0","DeS1Ex","De",1,"Ex","C",3,0,50.6816587,-3.7814137,55.979271,28.6,18.5,5.52,8.06774268,0.66521625,0.115727272727273,0.000986838091558818,0.0918138435196815,0.0248567341774102,"ResRisMcr-3-C-F-05-DeS1ExCp3d0-ITS-1","ResRisMcr-3-C-F-05-DeS1ExCp3d0-16S-1","ResRisMcr-3-C-F-05-DeS1ExCp3d0-16S-1_S257_L001_R1_001.fastq.gz","ResRisMcr-3-C-F-05-DeS1ExCp3d0-16S-1_S257_L001_R2_001.fastq.gz","ResRisMcr-3-C-F-05-DeS1ExCp3d0-ITS-1_S257_L001_R1_001.fastq.gz","ResRisMcr-3-C-F-05-DeS1ExCp3d0-ITS-1_S257_L001_R2_001.fastq.gz","5f283b9c9731ad04e6e615b683875974","27f7d0864fad5c958f60ae15bb77f019","780141d43b6499efb79f4f76c28e2830","ae22aca5b8cf3b1d556a4daa07bdd58d","DeS1ExCp3d0_16S_exp","DeS1ExCp3d0_16S_run","DeS1ExCp3d0_ITS_exp","DeS1ExCp3d0_ITS_run","ERR11531890","ERX10936456","ERR11532231","ERX10936797","ERS15577911","SAMEA113583002","PRJEB63076"
"DeS1ExDp1d0","DeS1Ex","De",1,"Ex","D",1,0,50.6816673,-3.7814775,55.979271,17.5,19.8,5.7,8.58395049,0.71311182,0.0815454545454546,0.00136502717067638,0.0409717708556782,0.0188785280695669,"ResRisMcr-4-D-B-06-DeS1ExDp1d0-ITS-1","ResRisMcr-4-D-B-06-DeS1ExDp1d0-16S-1","ResRisMcr-4-D-B-06-DeS1ExDp1d0-16S-1_S306_L001_R1_001.fastq.gz","ResRisMcr-4-D-B-06-DeS1ExDp1d0-16S-1_S306_L001_R2_001.fastq.gz","ResRisMcr-4-D-B-06-DeS1ExDp1d0-ITS-1_S306_L001_R1_001.fastq.gz","ResRisMcr-4-D-B-06-DeS1ExDp1d0-ITS-1_S306_L001_R2_001.fastq.gz","78e69519441380e4526a4597c2a28086","d0ce66e53bf1e52316a32610ee2a6274","08f071695b691b0e8b466d22ff58b649","549f271f00839c37d0d338d32dc29d7b","DeS1ExDp1d0_16S_exp","DeS1ExDp1d0_16S_run","DeS1ExDp1d0_ITS_exp","DeS1ExDp1d0_ITS_run","ERR11531891","ERX10936457","ERR11532232","ERX10936798","ERS15577912","SAMEA113583003","PRJEB63076"
"DeS1ExDp2d0","DeS1Ex","De",1,"Ex","D",2,0,50.6816879,-3.7814141,55.979271,21.2,18.4,5.58,5.12482599,0.4257384,0.105272727272727,0.00128517573347536,0.0901951258665724,0.026795457041278,"ResRisMcr-2-B-E-04-DeS1ExDp2d0-ITS-1","ResRisMcr-2-B-E-04-DeS1ExDp2d0-16S-1","ResRisMcr-2-B-E-04-DeS1ExDp2d0-16S-1_S148_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-04-DeS1ExDp2d0-16S-1_S148_L001_R2_001.fastq.gz","ResRisMcr-2-B-E-04-DeS1ExDp2d0-ITS-1_S148_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-04-DeS1ExDp2d0-ITS-1_S148_L001_R2_001.fastq.gz","e20c6ab90a1589c7bdd3d65c755d03bb","f0a0109b66ec454e9d40688647aded9e","ddd65f256b545fbd899d8fe6baa6ecdb","43b30a923a67bf53da3d1243beb23a2a","DeS1ExDp2d0_16S_exp","DeS1ExDp2d0_16S_run","DeS1ExDp2d0_ITS_exp","DeS1ExDp2d0_ITS_run","ERR11531892","ERX10936458","ERR11532233","ERX10936799","ERS15577913","SAMEA113583004","PRJEB63076"
"DeS1ExDp3d0","DeS1Ex","De",1,"Ex","D",3,0,50.6816495,-3.7814376,55.979271,21.7,20.8,5.6,7.67925639,0.62796414,0.126727272727273,0.00115031813790395,0.143049172101736,0.0463626057669611,"ResRisMcr-2-B-E-12-DeS1ExDp3d0-ITS-1","ResRisMcr-2-B-E-12-DeS1ExDp3d0-16S-1","ResRisMcr-2-B-E-12-DeS1ExDp3d0-16S-1_S156_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-12-DeS1ExDp3d0-16S-1_S156_L001_R2_001.fastq.gz","ResRisMcr-2-B-E-12-DeS1ExDp3d0-ITS-1_S156_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-12-DeS1ExDp3d0-ITS-1_S156_L001_R2_001.fastq.gz","be5b33a76987514c595ede131c9855f2","e768bc48eab15805ef57f0774acc65e7","1586d1c08376e7803addf7ca4df7ff38","f8876dd48aff28517300b6d60a8ce0d4","DeS1ExDp3d0_16S_exp","DeS1ExDp3d0_16S_run","DeS1ExDp3d0_ITS_exp","DeS1ExDp3d0_ITS_run","ERR11531893","ERX10936459","ERR11532234","ERX10936800","ERS15577914","SAMEA113583005","PRJEB63076"
"DeS1InCp1d0","DeS1In","De",1,"In","C",1,0,50.6814673,-3.7813185,68.542173,42,19.4,5.66,4.906756008,0.415386752,0.213727272727273,0.00164632865546009,0.0275399062785002,0.0172902935877079,"ResRisMcr-1-A-E-05-DeS1InCp1d0-ITS-1","ResRisMcr-1-A-E-05-DeS1InCp1d0-16S-1","ResRisMcr-1-A-E-05-DeS1InCp1d0-16S-1_S53_L001_R1_001.fastq.gz","ResRisMcr-1-A-E-05-DeS1InCp1d0-16S-1_S53_L001_R2_001.fastq.gz","ResRisMcr-1-A-E-05-DeS1InCp1d0-ITS-1_S53_L001_R1_001.fastq.gz","ResRisMcr-1-A-E-05-DeS1InCp1d0-ITS-1_S53_L001_R2_001.fastq.gz","da5323b3cd0038cedd4c256a56ef6bcd","93ab75380a63bc5c00b2cac587703d8c","0852b4cd7a98729813e70f90cfe23830","a062812126a4707c7134350317a47530","DeS1InCp1d0_16S_exp","DeS1InCp1d0_16S_run","DeS1InCp1d0_ITS_exp","DeS1InCp1d0_ITS_run","ERR11531894","ERX10936460","ERR11532235","ERX10936801","ERS15577915","SAMEA113583006","PRJEB63076"
"DeS1InCp2d0","DeS1In","De",1,"In","C",2,0,50.6814766,-3.7812762,68.542173,43.4,20.8,5.73,8.087060828,0.675003472,0.329,0.00171496650912225,0.0593876842929047,0.0319123495264312,"ResRisMcr-4-D-A-04-DeS1InCp2d0-ITS-1","ResRisMcr-4-D-A-04-DeS1InCp2d0-16S-1","ResRisMcr-4-D-A-04-DeS1InCp2d0-16S-1_S292_L001_R1_001.fastq.gz","ResRisMcr-4-D-A-04-DeS1InCp2d0-16S-1_S292_L001_R2_001.fastq.gz","ResRisMcr-4-D-A-04-DeS1InCp2d0-ITS-1_S292_L001_R1_001.fastq.gz","ResRisMcr-4-D-A-04-DeS1InCp2d0-ITS-1_S292_L001_R2_001.fastq.gz","0a62460f5ae0e0fcf869090240b6d2b0","df108dea04c6dea14409b6934ffef646","b0ee1cf3c3d5b6d2395d22dae7cb3319","94f05266b5e6c34478c9f6eb162aed6f","DeS1InCp2d0_16S_exp","DeS1InCp2d0_16S_run","DeS1InCp2d0_ITS_exp","DeS1InCp2d0_ITS_run","ERR11531895","ERX10936461","ERR11532236","ERX10936802","ERS15577916","SAMEA113583007","PRJEB63076"
"DeS1InCp3d0","DeS1In","De",1,"In","C",3,0,50.6814492,-3.7813465,68.542173,47.4,20.9,5.78,7.256287324,0.603608874,0.348727272727273,0.0024862532193673,0.029155040934324,0.0214532195542762,"ResRisMcr-4-D-B-12-DeS1InCp3d0-ITS-1","ResRisMcr-4-D-B-12-DeS1InCp3d0-16S-1","ResRisMcr-4-D-B-12-DeS1InCp3d0-16S-1_S312_L001_R1_001.fastq.gz","ResRisMcr-4-D-B-12-DeS1InCp3d0-16S-1_S312_L001_R2_001.fastq.gz","ResRisMcr-4-D-B-12-DeS1InCp3d0-ITS-1_S312_L001_R1_001.fastq.gz","ResRisMcr-4-D-B-12-DeS1InCp3d0-ITS-1_S312_L001_R2_001.fastq.gz","8235542a5e0ec2ab7aaaa4c26de22178","9bd2850a0b1d9915098d6ea604433453","87ec26d30f2c09e503facba966e4bb4d","370ea8134bd52a1b4b1bd84e86912d19","DeS1InCp3d0_16S_exp","DeS1InCp3d0_16S_run","DeS1InCp3d0_ITS_exp","DeS1InCp3d0_ITS_run","ERR11531896","ERX10936462","ERR11532237","ERX10936803","ERS15577917","SAMEA113583008","PRJEB63076"
"DeS1InDp1d0","DeS1In","De",1,"In","D",1,0,50.6814584,-3.7813042,68.542173,24,19,5.82,9.904377868,0.837263922,0.212454545454545,0.00208256727390656,0.062549803029026,0.0303822096049594,"ResRisMcr-3-C-C-07-DeS1InDp1d0-ITS-1","ResRisMcr-3-C-C-07-DeS1InDp1d0-16S-1","ResRisMcr-3-C-C-07-DeS1InDp1d0-16S-1_S223_L001_R1_001.fastq.gz","ResRisMcr-3-C-C-07-DeS1InDp1d0-16S-1_S223_L001_R2_001.fastq.gz","ResRisMcr-3-C-C-07-DeS1InDp1d0-ITS-1_S223_L001_R1_001.fastq.gz","ResRisMcr-3-C-C-07-DeS1InDp1d0-ITS-1_S223_L001_R2_001.fastq.gz","98cee5a2cc4ee500c84203b5a433bb9e","d6c6ca93497d8b2a030e5f81cbfdd04e","15d4c11b16d9663f62ed697b3bcdd37a","7105008db0f94f63d6f7c7581fe34308","DeS1InDp1d0_16S_exp","DeS1InDp1d0_16S_run","DeS1InDp1d0_ITS_exp","DeS1InDp1d0_ITS_run","ERR11531897","ERX10936463","ERR11532238","ERX10936804","ERS15577918","SAMEA113583009","PRJEB63076"
