Column in dataset,Description,Unit,,,
sample,Unique sample ID,,,,
fieldID,Unique field ID,,,,
region,"Sampling sites were clustered into three broader regions. De = Devon; Sc = Aberdeenshire, Scotland; Yo = North Yorkshire",,,,
site,"Site ID within each region. Sites are numbered south to north, with 1 being the southernmost site and 5 being the northernmost site.",,,,
management,"Management regime within a site/farm. In = intensive; Ex = extensive. Management regimes are all relative to each farm, but in general, extensive sites receive little or no fertilizer or lime and are not cut for hay.",,,,
treatment,Drought treatment. C = control; D = droughted (shelters),,,,
plot,"Replicate plot pair number, 1-3, within each field. Three drought shelters, and three paired control plots, were established in each field. Therefore, Cp1 is paired with Dp1, etc. ",,,,
day,"Time of measurement, in days after shelter removal. Day 0 = day of drought shelter removal, etc. until 60 days after shelter removal. Day 0 and 60 correspond to different dates for each site.",,,,
lat,Decimal latitude of plot,,,,
lon,Decimal longitude of plot,,,,
sand_pct,"Percent sand (>53 microns), determined by laser granulometry at University of Manchester. Prior to analysis, soil samples were sieved at 2 mm and oven dried. They were subsampled by riffle sampler, followed by cone and quarter to achieve a sample size of c. 0.75 grams. To remove organic matter, the samples were boiled in 50 ml hydrogen peroxide H2O2 (@ 120 °C) for >2 hours, with the aim of finishing when the samples had stopped reacting and had become bleached in colour. The entire sub-sample was then analyzed using a Malvern Mastersizer 2000 and Hydro 2000G liquid handling unit.",%,,,
soil_moisture,Volumetric soil moisture measured with Delta-T probe at the time of sampling,% (v/v),,,
soil_temp,Soil temperature  measured with Delta-T probe at the time of sampling,° C,,,
pH,pH in H2O,M,,,
soil_tot_C,Total C measured by elemental analyser,kg C m-2,,,
soil_tot_N,Total N  measured by elemental analyser,kg N m-2,,,
abv_plant_biomass,"Above-ground plant biomass, harvested from each plot on day 0; assumed 44% C by mass",kg C m-2,,,
plant_avail_N,Plant available N extracted from fresh soil samples with 1M KCl,kg N m-2,,,
fb_ratio,"Fungal to bacterial ratio, from total bacterial and total fungal PLFAs , using definition of bacterial PLFAs from de Vries et al. 2012",unitless,,,
microbial_biomass,"Sum of bacterial and fungal biomass estimated from PLFAs using definition of bacterial and fungal PLFAS from Frostegard & Baath 1996 and Klamer & Baath 2004, respectively, and their conversion factors",biomass; kg C m-2,,,
16Sf,The 16S forward read filename,,,,
16Sr,The 16S reverse read filename  ,,,,
ITSf,The ITS forward read filename,,,,
ITSr,The ITS reverse read filename,,,,
run_acc_16S,The European Nucleotide Archive run Accession for 16Samplicons,,,,
exp_acc_16S,The European Nucleotide Archive experiment Accession for 16S amplicons,,,,
run_acc_ITS,The European Nucleotide Archive run Accession for ITS amplicons ,,,,
exp_acc_ITS,The European Nucleotide Archive experiment Accession for ITS amplicons,,,,
samp_acc,The European Nucleotide Archive Sample Accession ,,,,
proj_acc ,The European Nucleotide Archiver Project Accession (same for all samples),,,,
